standard_bangla,dialect_v1,dialect_v2,dialect_v3,dialect_v4,dialect_v5,dialect
তিনি টেনিস খেলতে ভালোবাসেন  ,তাইন টেনিস খেলতা ভালাপাইন ,তাইন টেনিস খেলত ভালা পাইতা,হে টেনিস খেলতে ভালা ফাইইন,তাইন টেনিস খেইলতে ভালাফাইন,তাইন টেনিস খেলতা ভালাপাইন ,sylhet
তারা বাস্কেটবল খেলছে  ,তারা বাস্কেটবল খেলের,তারা বাস্কেটবল খেলে,তারা বাস্কেটবল খেলরায়,তাইন বাস্কেটবল খেইলরা,তারা বাস্কেটবল খেলের,sylhet
করিম লুডু খেলতে পছন্দ করে  ,করিমে লুডু খেলতো পছন্দ করে,করিম লুডু খেলত ভালা পায়,করিম লুডু খেলতে পছন্দ করয়,করিম লুডু খেইলতে পছন্দ করে,করিমে লুডু খেলতো পছন্দ করে,sylhet
সে ক্যারাম খেলতে ভালোবাসে  ,হে ক্যারামবোর্ড খেলতো ভালাপায়,হে ক্যারাম খেলত ভালা পায়,হে ক্যারাম খেলতে ভালা পায়,হে ক্যারাম খেইলতে ভালাফায়,সে ক্যারামবোর্ড খেলতো ভালাপায়,sylhet
আমরা আজ রাতের জন্য হকি ম্যাচ দেখব  ,আমরা আইজ রাইত হকি খেলা দেখমু,আমরা আইজ রাইতর লাগি হকি ম্যাচ দেখমু,আমরা আজকো রাইতর লাগি হকি ম্যাচ দেখমু,আমরা আজি রাইতর লাগি হকি ম্যাচ দেখমু,আমরা আইজ রাইত হকি খেলা দেখমু,sylhet
তুমি কি সাইকেল চালাতে পারো ,তুমি কিতা সাইকেল চালাইতায় পারো নি,তুমি কিতা সাইকেল চালাইতে পারো নি,তুমি কিতা সাইকেল চালাইতে পারো,তুমি কিতা সাইকেল চালাইতে ফারো,তুই কিতা সাইকেল চালাইতায় পারো নি,sylhet
সে জিমন্যাস্টিক করে  ,হে জিমনাস্টিক করে,হে জিমন্যাস্টিক করে,হে জিমন্যাস্টিক করয়,হে জিমন্যাস্টিক করে,সে জিমনাস্টিক করে,sylhet
আমার মা যোগ ব্যায়াম করেন  ,আমার মায়ে যোগ ব্যায়াম করোইন,মোর মায়ে যোগ ব্যায়াম করইন,আমার মা যোগ ব্যায়াম করইন,আমার মা যোগ ব্যায়াম করইন,আমার মায়ে যোগ ব্যায়াম করোইন,sylhet
তারা বক্সিং দেখছে  ,তারা বক্সিং খেলা দেখের,তারা বক্সিং দেখের,তারা বক্সিং দেখরায়,তাইন বক্সিং দেখরা,তারা বক্সিং খেলা দেখের,sylhet
সে কুস্তি লড়তে ভালোবাসে  ,হে কুস্তি করতে ভালাপায়,হে কুস্তি লড়ত ভালা পায়,হে কুস্তি লড়তে ভালা পায়,হে কুস্তি লড়তে ভালাফায়,সে কুস্তি করতে ভালাপায়,sylhet
বাচ্চারা বিকেলে ফুটবল মাঠে খেলছে  ,হুরুত্তাইনতে বিকালে ফুটবল মাঠো খেলের,বাইচ্চাইন বিকালো ফুটবল মাঠো খেলে,বাচ্চারা বিকালত ফুটবল মাঠত খেলরায়,বাচ্চাইন বিকালো ফুটবল মাঠো খেইলরা,হুরুত্তাইনতে বিকালে ফুটবল মাঠো খেলের,sylhet
ছোট পাখিটি গান গাইছে  ,ছোটো পাখিটায় গান গার,ছুটু ফাকিটায় গান গায়,ছোট পাখিটা গান গাইরায়,ছুটো ফাক্কিখান গান গাইরা,ছোটো পাখিটায় গান গার,sylhet
এই বাক্সটা খুব ছোট  ,ইটা খুব ছোট বাক্স,ই বাকসখান খুব ছুটু,এই বাক্সটা হাচাউ বাক্কা ছোট,ই বাক্সখান খুব ছুটো,ইটা খুব ছোট বাক্স,sylhet
ছোট বাচ্চাটি খেলনা নিয়ে খেলছে  ,ছোট বাইচ্চাটায় খেলনা দিয়া খেলের,ছুটু বাইচ্চাটি খেলনা লইয়া খেলে,ছোট বাচ্চাটা খেলনা লইয়া খেলরায়,ছুটো বাচ্চাইর খেলনা লই খেইলরা,ছোট বাইচ্চাটায় খেলনা দিয়া খেলের,sylhet
ছোট ফুলটি সুন্দর গন্ধ ছড়াচ্ছে  ,উতুবুড়ি ফুলটায় বাক্কা সুন্দর ঘেরান উড়ার,ছুটু ফুলখান সুন্দর সোদা ছড়ায়,ছোট ফুলটা সুন্দর গন্ধ ছড়াইরায়,ছুটো ফুলখান সুন্দর গন্ধ ছড়াইরা,উতুবুড়ি ফুলটায় বাক্কা সুন্দর ঘেরান উড়ার,sylhet
আমার হাতে একটা ছোট পাথর আছে  ,আমার আতো ছোট একটা পাত্তর আছে,মোর হাতো এখটা ছুটু ফাত্তর আছে,আমার হাতত একটা ছোট ফাত্থর আছে,আমার আতো একখান ছুটো ফাতর আছে,আমার আতো ছোট একটা পাত্তর আছে,sylhet
ছোট নদীটি ধীরে ধীরে বয়ে যাচ্ছে  ,ছোট গাঙটা আস্তে আস্তে বইয়া যার,ছুটু নইখান আস্তে আস্তে বইয়া যাইয়ের,ছোট নদিটা আস্তে আস্তে বইরা যাইরায়,ছুটো নদীখান আস্তে আস্তে বইয়া যাইরা,ছোট গাঙটা আস্তে আস্তে বইয়া যার,sylhet
এই ঘরটা খুবই ছোট  ,ই ঘরটা খুব ছুটো,ই ঘরখান খুব ছুটু,এই ঘরটা হাচাউ বাক্কা ছোট,ই ঘরখান খুব ই ছুটো,ই ঘরটা খুব ছুটো,sylhet
আমার হাতে একটা ছোট বল ছিল,আমার আতো একটা ছুটো বল আছিল,মোর হাতো এখটা ছুটু বল আছিল,আমার হাতত একটা ছোট বল আছিল,আমার আতো একখান ছুটো বল আছিল,আমার আতো একটা ছুটো বল আছিল,sylhet
ছোট গাড়িটি খুব দ্রুত চলছে  ,ছুটো গাড়িটা খুব জুরে চলের,ছুটু গাড়িখান খুব জলদি চলে,ছোট গাড়িটা হাচাউ জলদি চলরায়,ছুটো গাড়িখান খুব জলদি চলরা,ছুটো গাড়িটা খুব জুরে চলের,sylhet
ছোট মাছটি অ্যাকুরিয়ামে সাঁতার কাটছে  ,ছুটো মাছটায় আ্যকুরিয়ামো হাঁতার দের,ছুটু মাছখান অ্যাকুরিয়ামও সাতার খাটের,ছোট মাছটা অ্যাকুরিয়ামত হাতার কাটরায়,ছুটো মাছখান অ্যাকুরিয়ামত সাঁতার কাটরা,ছুটো মাছটায় আ্যকুরিয়ামো হাঁতার দের,sylhet
বড় গাছটি অনেক ছায়া দেয়  ,বড় গাছটায় বহুত ছেবা দেয়,বড় গাছখান বাক্কা ছায়া দেয়,বড় গাছটা বাক্কা ছায়া দেয়,বড় গাছখান বহুত ছায়া দেইন,বড় গাছটায় বহুত ছেবা দেয়,sylhet
এই বিল্ডিংটা খুব বড়  ,ওউ বিল্ডিংটা খুব বড়,ই বিল্ডিংখান খুব বড়,এই বিল্ডিংটা হাচাউ বাক্কা বড়,ই বিল্ডিংখান খুব বড়,ওউ বিল্ডিংটা খুব বড়,sylhet
বড় নদীটি অনেক দূর পর্যন্ত বিস্তৃত  ,বড় নদীটা বহুত দূর পর্যন্ত গেছে,বড় নইখান বাক্কা দূর পর্যন্ত আছে,বড় নদিটা বাক্কা দূর ফুরযন্ত বিছৃত,বড় নদীখান বহুত দূর ফুর্যন্ত বিস্তৃত,বড় নদীটা বহুত দূর পর্যন্ত গেছে,sylhet
বড় গাড়িটি অনেক যাত্রী বহন করে  ,বড় গাড়িটায় বহুত মানুষ নেয়,বড় গাড়িখান বাক্কা যাত্রী লইয়া যায়,বড় গাড়িটা বাক্কা যাত্রী বহন করয়,বড় গাড়িখান বহুত যাত্রী লই যায়,বড় গাড়িটায় বহুত মানুষ নেয়,sylhet
বড় পাহাড়টি দেখতে সুন্দর  ,বড় পাহাড়টা দেখতে খুব সুন্দর,বড় ফাহারখান দেখাত সুন্দর,বড় ফাহাড়টা দেখতে সুন্দর,বড় ফাহাড়খান দেখতে সুন্দর,বড় পাহাড়টা দেখতে খুব সুন্দর,sylhet
বড় মাছটি জালে ধরা পড়েছে  ,বড় মাছটা জালো ধরা খাইছে,বড় মাছখান জালও ধরা পড়ছে,বড় মাছটা জালত ধরা ফড়িছে,বড় মাছখান জালত ধরা ফড়ছে,বড় মাছটা জালো ধরা খাইছে,sylhet
বড় ঘরটিতে অনেক লোক থাকতে পারে  ,বড় ঘরটাত বহুত মানুষ থাকতো পারে,বড় ঘরখানও বাক্কা মানুষ থাকতে পারে,বড় ঘরটাত বাক্কা মানুষ থাকতে ফারয়,বড় ঘরখানত বহুত মানু থাকতে ফারইন,বড় ঘরটাত বহুত মানুষ থাকতো পারে,sylhet
বড় পাখিটি আকাশে উড়ছে  ,বড় পাখিটা আকাশো উড়ের,বড় ফাকিখান আকাশও উড়ে,বড় পাখিটা আকাশত উড়রায়,বড় ফাক্কিখান আকাশো উড়রা,বড় পাখিটা আকাশো উড়ের,sylhet
বড় গাড়িটি অনেক মাল বহন করে  ,বড় গাড়িটায় বহুত মাল নেয়,বড় গাড়িখান বাক্কা মাল লইয়া যায়,বড় গাড়িটা বাক্কা মাল বহন করয়,বড় গাড়িখান বহুত মাল লই যায়,বড় গাড়িটায় বহুত মাল নেয়,sylhet
বড় পুকুরটিতে অনেক মাছ আছে  ,বড় পুকরিটাত বহুত মাছ আছে,বড় ফুকুরখানও বাক্কা মাছ আছে,বড় ফুকুরটাত বাক্কা মাছ আছে,বড় পুকুরখানত বহুত মাছ আছে,বড় পুকরিটাত বহুত মাছ আছে,sylhet
আজ আমি খুব খুশি  ,আইজ আমি খুব খুশি,আইজ মুই খুব খুশি,আজকো আমি হাচাউ বাক্কা খুশি,আজি আমি খুব খুশি,আইজ আমি খুব খুশি,sylhet
তার হাসি দেখে বোঝা যাচ্ছে সে আনন্দিত  ,তার আসি দেখিয়া মনো ওর হে খুব খুশি,তার হাসি দেখি বুজা যায় হে খুশি,তার হাসি দেখি বুঝা যাইরায় হে আনন্দিত,তার হাঁসি দেখি বুজা যাইরা হে আনন্দিত,তার আসি দেখিয়া মনো ওর সে খুব খুশি,sylhet
আমরা সবাই মিলে আনন্দ করছি  ,আমরা হকলে মিলি মজা কররাম,আমরা হকলতে মিলি আনন্দ খরিয়ার,আমরা সগায় মিলি আনন্দ কররায়,আমরা সবায় মিলি আনন্দ কররা,আমরা হকলে মিলি মজা কররাম,sylhet
খবরটা শুনে আমার মন ভরে গেল  ,খবরটা হুনিয়া আমার মন ভরি গেছে,খপরখান হুনি মোর মন ভরিয়া গেলো,খবরটা হুনিয়া আমার মন ভরি গেল,খবরখান শুনি আমার মন ভরি গেলো,খবরটা হুনিয়া আমার মন ভরি গেছে,sylhet
বাচ্চারা খেলনা পেয়ে আনন্দে আত্মহারা  ,হুরুত্তাইনতে খেলনা পাইয়া তারার আনন্দে আর আটের না,বাইচ্চাইন খেলনা ফাইয়া খুশিও আত্মহারা,বাচ্চারা খেলনা ফাইয়া আনন্দত আত্মহারা,বাচ্চাইন খেলনা ফাইয়া আনন্দত আত্মহারা,হুরুত্তাইনতে খেলনা পাইয়া তারার আনন্দে আর আটের না,sylhet
সে খুব দুঃখিত  ,হে খুব দুঃখিত,হে খুব দুঃখি,হে হাচাউ বাক্কা দুঃখিত,হে খুব দুঃখিত,সে খুব দুঃখিত,sylhet
তার চোখ দিয়ে জল পড়ছে  ,তার চোউকে দিয়া পানি পড়ের,তার চউক দিয়া ফানি ফড়ের,তার চক্ষু দিয়া ফানি ফড়রায়,তার চোখ দিয়া ফানি ফড়রা,তার চোউকে দিয়া পানি পড়ের,sylhet
আমরা তার কষ্টে সমবেদনা জানাচ্ছি  ,আমরা তার কষ্টোর লাগি সমবেদনা জানাইরাম,আমরা তার কষ্টো সমবেদনা জানাইয়ার,আমরা তার কষ্টত সমবেদনা জানাইরায়,আমরা তার কষ্টত সমবেদনা জানাইরা,আমরা তার কষ্টোর লাগি সমবেদনা জানাইরাম,sylhet
খবরটা শুনে আমার মন খারাপ হয়ে গেল  ,খবরটা হুনিয়া আমার মন খারাপ হই গেছে,খপরখান হুনি মোর মন খারাফ অইয়া গেলো,খবরটা হুনিয়া আমার মন খারাপ অইয়া গেল,খবরখান শুনি আমার মন খারাপ অইয়া গেলো,খবরটা হুনিয়া আমার মন খারাপ হই গেছে,sylhet
সে একা বসে কাঁদছে  ,হে একলা বইয়া কান্দের,হে একলা বইয়া কান্দের,হে একা বইয়া কান্দরায়,হে একলা বই কান্দরা,সে একলা বইয়া কান্দের,sylhet
আমি খুব উত্তেজিত  ,আমি খুব উত্তেজিত,মুই খুব উত্তেজিত,আমি হাচাউ বাক্কা উত্তেজিত,আমি খুব উত্তেজিত,আমি খুব উত্তেজিত,sylhet
আমি কনসার্টের জন্য খুব উত্তেজিত  ,আমি কনসার্টোর লাগি খুব উত্তেজিত,মুই কনসার্টর লাগি খুব উত্তেজিত,আমি কনসার্টর লাগি হাচাউ বাক্কা উত্তেজিত,আমি কনসার্টর লাগি খুব উত্তেজিত,আমি কনসার্টোর লাগি খুব উত্তেজিত,sylhet
সে খুব রাগান্বিত  ,হে খুব রাগো,হে খুব রাগ অইছে,হে হাচাউ বাক্কা রাগি,হে খুব রাগি,সে খুব রাগো,sylhet
আমি খুব চিন্তিত  ,আমি খুব চিন্তাত পড়ছি,মুই খুব চিন্তিত,আমি হাচাউ বাক্কা চিন্তিত,আমি খুব চিন্তিত,আমি খুব চিন্তাত পড়ছি,sylhet
সে খুব ভীত  ,হে খুব ডরায়,হে খুব ডর পাইছে,হে হাচাউ বাক্কা ভয় ফাইছে,হে খুব ডরাইছে,সে খুব ডরায়,sylhet
আমার খুব অবাক লাগছে  ,আমার খুব অবাক লাগের,মোর খুব অবাক লাগের,আমার হাচাউ বাক্কা অবাক লাগে,আমার খুব অবাক লাগরা,আমার খুব অবাক লাগের,sylhet
সে খুব লজ্জিত  ,হে খুব সরম পাইছে,হে খুব লাজুক,হে হাচাউ বাক্কা লজ্জা পাইছে,হে খুব লজ্জিতা,সে খুব সরম পাইছে,sylhet
আমি খুব ক্লান্ত  ,আমি খুব হেরান,মুই খুব ক্লান্ত,আমি হাচাউ বাক্কা ক্লান্ত,আমি খুব ক্লান্ত,আমি খুব হেরান,sylhet
সে খুব হতাশ  ,হে খুব হতাশ,হে খুব হতাশ,হে হাচাউ বাক্কা হতাশ,হে খুব হতাশ,সে খুব হতাশ,sylhet
আমার খুব বিরক্ত লাগছে  ,আমার খুব বিরক্ত লাগের,মোর খুব বিরক্ত লাগের,আমার হাচাউ বাক্কা বিরক্ত লাগে,আমার খুব বিরক্ত লাগরা,আমার খুব বিরক্ত লাগের,sylhet
সে খুব ঈর্ষান্বিত  ,হে খুব ঈর্ষান্বিত,হে খুব ইর্ষা করে,হে হাচাউ বাক্কা হিংসা করয়,হে খুব ঈর্ষান্বিত,সে খুব ঈর্ষান্বিত,sylhet
আমি খুব আরাম বোধ করছি  ,আমার খুব আরাম লাগের,মুই খুব আরাম বুজ খরিয়ার,আমি হাচাউ বাক্কা আরাম লাগরায়,আমি খুব আরাম বোধ কররা,আমার খুব আরাম লাগের,sylhet
আজ খুব গরম  ,আইজ খুব গরম,আইজ খুব গরম,আজকো হাচাউ বাক্কা গরম,আজি খুব গরম,আইজ খুব গরম,sylhet
বৃষ্টি হচ্ছে  ,মেঘ দের,বিষ্টি অইয়ের,বিষ্টি অইরায়,বৃষ্টি অইরা,মেঘ দের,sylhet
আজ ঠান্ডা বাতাস বইছে  ,আইজ বাক্কা ঠান্ডা বাতাস দের,আইজ ঠান্ডা বাতাস আইের,আজকো ঠান্ডা বাতাস বইরায়,আজি ঠান্ডা বাতাস বইরা,আইজ বাক্কা ঠান্ডা বাতাস দের,sylhet
আকাশ মেঘলা  ,আকাশ কালা,আকাশ মেঘলা,আকাশ মেঘলা,আকাশ মেঘলা,আকাশ কালা,sylhet
আজ রোদ উঠেছে  ,আইজ রোইদ উঠছে,আইজ রোদ উঠৈছে,আজকো রোদ উঠিছে,আজি রোদ উঠিছে,আইজ রোইদ উঠছে,sylhet
কুয়াশা পড়ছে  ,খুয়া পড়ছে,কুয়াশা ফড়ের,কুয়াশা ফড়রায়,কুয়াশা ফড়রা,খুয়া পড়ছে,sylhet
আজ ঝড় হতে পারে  ,আইজ তুফান হইতো পারে,আইজ ঝড় অইতো পারে,আজকো ঝড় অইতে ফারয়,আজি ঝড় অইতে ফারে,আইজ তুফান হইতো পারে,sylhet
আকাশে রংধনু দেখা যাচ্ছে  ,আকাশো রংধনু দেখা যার,আকাশও রংধনু দেখা যায়,আকাশত রংধনু দেখা যাইরায়,আকাশো রংধনু দেখা যাইরা,আকাশো রংধনু দেখা যার,sylhet
আজ খুব আর্দ্রতা  ,আইজ খুব টানটান লাগের,আইজ খুব আদরো,আজকো হাচাউ বাক্কা আর্দ্রতা,আজি খুব আর্দ্রতা,আইজ খুব টানটান লাগের,sylhet
আজ বজ্রপাত হচ্ছে  ,আইজ ডাক জিল্কি দের,আইজ বিজলি পরে,আজকো বজ্রপাত অইরায়,আজি বজ্রপাত অইরা,আইজ ডাক জিল্কি দের,sylhet
বর্ষাকাল চলছে  ,বাইরামাস চলের,বর্ষাকাল চলের,বর্ষাকাল চলরায়,বরষা কাল চলরা,বাইরামাস চলের,sylhet
শীতকালে খুব ঠান্ডা লাগে  ,শীতকালো বাক্কা ঠান্ডা লাগে,শীতকালও খুব ঠান্ডা লাগে,শীতকালত হাচাউ বাক্কা ঠান্ডা লাগে,শীতকালত খুব ঠান্ডা লাগে,শীতকালো বাক্কা ঠান্ডা লাগে,sylhet
বসন্তকালে ফুল ফোটে  ,বসন্তকালো ফুল ফুটে,বসন্তকালও ফুল ফুটে,বসন্তকালত ফুল ফুটয়,বসন্তকালত ফুল ফুটি,বসন্তকালো ফুল ফুটে,sylhet
গ্রীষ্মকালে আম পাকে  ,গরমোর দিন আম পাকে,গরমকালও আম ফাকে,গ্রীষ্মকালত আম ফাকয়,গ্রীষ্মকালত আম ফাকি,গরমোর দিন আম পাকে,sylhet
শরৎকালে আকাশ পরিষ্কার থাকে  ,শরৎকালো আকাশ পরিষ্কার থাকে,শরৎকালও আকাশ সাফা থাকে,শরৎকালত আকাশ পরিষ্কার থাকয়,শরৎকালত আকাশ পরিস্কার থাকইন,শরৎকালো আকাশ পরিষ্কার থাকে,sylhet
হেমন্তকালে ধান পাকে  ,এয়তমাসো ধান পাকে,হেমন্তকালও ধান ফাকে,হেমন্তকালত ধান ফাকয়,হেমন্তকালত ধান ফাকি,এয়তমাসো ধান পাকে,sylhet
বর্ষাকালে নদী ভরে যায়  ,বাইরামাসো নদী ভরি যায়,বর্ষাকালও নই ভরিয়া যায়,বর্ষাকালত নদি ভরি যায়,বরষাকালত নদী ভরি যায়,বাইরামাসো নদী ভরি যায়,sylhet
শীতকালে পিঠা খাওয়া হয়  ,শীতকালো পিঠা খাইন,শীতকালও ফিঠা খাওয়া অয়,শীতকালত পিঠা খাওয়া অয়,শীতকালত পিঠা খাওয়া অয়,শীতকালো পিঠা খাইন,sylhet
বসন্তকালে কোকিল ডাকে  ,বসন্তকালো কোকিলে ডাকে,বসন্তকালও কোকিল ডাকে,বসন্তকালত কোকিল ডাকয়,বসন্তকালত কোকিল ডাকই,বসন্তকালো কোকিলে ডাকে,sylhet
গ্রীষ্মকালে অনেক গরম পড়ে  ,গ্রীষ্মকালো বহুত গরম দেয়,গরমকালও বাক্কা গরম ফড়ে,গ্রীষ্মকালত বাক্কা গরম ফড়য়,গ্রীষ্মকালত বহুত গরম ফড়ে,গ্রীষ্মকালো বহুত গরম দেয়,sylhet
বর্ষাকালে প্রচুর বৃষ্টি হয়  ,বাইরামাসো বহুত মেঘ দেয়,বর্ষাকালও বাক্কা বিষ্টি অয়,বর্ষাকালত বাক্কা বিষ্টি অয়,বরষাকালত বহুত বৃষ্টি অয়,বাইরামাসো বহুত মেঘ দেয়,sylhet
শীতকালে কুয়াশার জন্য রাস্তা দেখা যায় না  ,শীতো খুয়ার লাগি রাস্তা দেখা যায় না,শীতকালও কুয়াশার লাগি রাস্তা দেখা যায় না,শীতকালত কুয়াশার লাগি রাস্তা দেখা যায় না,শীতকালত কুয়াশার লাগি রাস্তা দেখা যায় না,শীতো খুয়ার লাগি রাস্তা দেখা যায় না,sylhet
বসন্তকালে হালকা বাতাস বয়  ,বসন্তকালো তুরা তুড়া বাতাস দেয়,বসন্তকালও হালকা বাতাস বহে,বসন্তকালত হালকা বাতাস বয়,বসন্তকালত হালকা বাতাস বই,বসন্তকালো তুরা তুড়া বাতাস দেয়,sylhet
গ্রীষ্মকালে রোদ খুব তীব্র থাকে  ,গরমোর দিনো রইদ খুব কড়া থাকে,গরমকালও রোদ খুব তেজ থাকে,গ্রীষ্মকালত রোদ হাচাউ বাক্কা তীব্র থাকয়,গ্রীষ্মকালত রোদ খুব তীব্র থাকইন,গরমোর দিনো রইদ খুব কড়া থাকে,sylhet
শরৎকালে কাশ ফুল ফোটে  ,শরৎকালো কাশফুল ধরে,শরৎকালও কাশ ফুল ফুটে,শরৎকালত কাশ ফুল ফুটয়,শরৎকালত কাশ ফুল ফুটি,শরৎকালো কাশফুল ধরে,sylhet
হেমন্তকালে সোনালী ধান দেখা যায়  ,এয়তমাসো সোনালী ধান দেখা যায়,হেমন্তকালও সোনালি ধান দেখা যায়,হেমন্তকালত সোনালী ধান দেখা যায়,হেমন্তকালত সোনালী ধান দেখা যায়,এয়তমাসো সোনালী ধান দেখা যায়,sylhet
আম গাছটি অনেক বড়  ,আম গাছটা খুব বড়,আম গাছখান বাক্কা বড়,আম গাছটা বাক্কা বড়,আম গাছখান বহুত বড়,আম গাছটা খুব বড়,sylhet
নারকেল গাছ থেকে ডাব পড়েছিল  ,নাইকল গাছ থাকি ডাব পড়ছিল,নারকল গাছ থাকি ডাব ফড়ছিল,নারিকেল গাছ থাকি ডাব ফড়সিল,নারিকেল গাছ থাকি ডাব ফড়ছিল,নাইকল গাছ থাকি ডাব পড়ছিল,sylhet
কাঁঠাল গাছটি ফলভারে নুয়ে পড়েছে  ,কাঁঠল গাছটা ফলোর ভারে নুই গেছে,কাঁঠাল গাছখান ফলও নুইয়া পড়ছে,কাঠাল গাছটা ফলর ভারত নুইয়া ফড়িছে,কাঁঠাল গাছখান ফলভারো নুইয়া ফড়ছে,কাঁঠল গাছটা ফলোর ভারে নুই গেছে,sylhet
তাল গাছগুলো লম্বা  ,তাল গাছগুন বহুত উঁচা,তাল গাছগুইন লম্বা,তাল গাছগুলা লম্বা,তাল গাছগুলান লম্বা,তাল গাছগুন বহুত উঁচা,sylhet
বাঁশ গাছগুলো একসাথে দাঁড়িয়ে আছে  ,বাঁশগুন্তা একলগে উবাই থাকছে,বাঁশ গাছগুইন একলগে উবাই রইছে,বাঁশ গাছগুলা একলগে দাড়াইয়া আছে,বাঁশ গাছগুলান একলগে উবাইরা আছে,বাঁশগুন্তা একলগে উবাই থাকছে,sylhet
সে বট গাছের নিচে বসে আছে  ,হে বটগাছোর তলে বয়াত,হে বট গাছর নিছে বই রইছে,হে বট গাছর তলত বইয়া আছে,হে বট গাছর নিচত বই রইছে,সে বটগাছোর তলে বয়াত,sylhet
শিমুল গাছ থেকে তুলা সংগ্রহ করা হয়  ,হিমুল গাছ থাকি তুলা রাখা হয়,শিমুল গাছ থাকি তুলা লওয়া অয়,শিমুল গাছ থাকি তুলা সংগ্রহ করা অয়,শিমুল গাছ থাকি তুলা সংগ্রহ করা অয়,হিমুল গাছ থাকি তুলা রাখা হয়,sylhet
খেজুর গাছ থেকে রস বের করা হয়  ,খেজুরোর গাছ থাকি রস বার করা হয়,খেজুর গাছ থাকি রস বাইর খরা অয়,খেজুর গাছ থাকি রস বার করা অয়,খিজুর গাছ থাকি রস বার করা অয়,খেজুরোর গাছ থাকি রস বার করা হয়,sylhet
জাম গাছটি ফলভারে পরিপূর্ণ  ,জাম গাছটাত বহুত ফল আইছে,জাম গাছখান ফলও ভরিয়া রইছে,জাম গাছটা ফলর ভারত ভরা,জাম গাছখান ফলভারো ফুরফুর,জাম গাছটাত বহুত ফল আইছে,sylhet
মেহগনি গাছ থেকে কাঠ পাওয়া যায়  ,মেহগনী গাছ থাকি লাকড়ি পাওয়া যায়,মেহগনি গাছ থাকি কাঠ পাওয়া যায়,মেহগনি গাছ থাকি কাঠ পাওয়া যায়,মেহগনি গাছ থাকি কাঠ ফাইবা যায়,মেহগনী গাছ থাকি লাকড়ি পাওয়া যায়,sylhet
ধান ক্ষেত সোনালী হয়ে উঠেছে  ,ধানোর জমিন সোনালী হই গেছে,ধানর খেত সোনালি অইয়া উঠৈছে,ধানর খেত সোনালী অইয়া উঠিছে,ধান খেত সোনালী অইয়া উঠিছে,ধানোর জমিন সোনালী হই গেছে,sylhet
পাট চাষ করা হচ্ছে  ,পাটক্ষেত করা ওর,ফাট চাষ খরা অইের,ফাট চাষ করা অইরায়,পাট চাষ করা অইরা,পাটক্ষেত করা ওর,sylhet
গম ক্ষেত সবুজ দেখাচ্ছে  ,গমোর ক্ষেত সবুজ দেখার,গম খেত সবুজ দেখায়,গম খেত সবুজ দেখাইরায়,গম খেত সবুজ দেখাইরা,গমোর ক্ষেত সবুজ দেখার,sylhet
সরিষা ক্ষেতে হলুদ ফুল ফুটেছে  ,সরিষা ক্ষেতো ওইলদা ফুল ধরছে,সইসর খেতও হলুদ ফুল ফুটছে,সরিষা খেতত হলুদ ফুল ফুটিছে,সরিষা খেতত হলুদ ফুল ফুটিছে,সরিষা ক্ষেতো ওইলদা ফুল ধরছে,sylhet
চা বাগান খুব সুন্দর  ,চা বাগান খুব সুন্দর,চা বাগান খুব সুন্দর,চা বাগান হাচাউ বাক্কা সুন্দর,চা বাগান খুব সুন্দর,চা বাগান খুব সুন্দর,sylhet
সিম এবং বরবটি চাষ করা হচ্ছে  ,উরি আর রামাই ফলানি হর,সিম আর বরবটি চাষ খরা অইের,শিম আর বরবটি চাষ করা অইরায়,শিম আর বরবটি চাষ করা অইরা,উরি আর রামাই ফলানি হর,sylhet
ডাল ক্ষেতে ডাল পাকছে  ,ডাইল ক্ষেতো ডাইল পাকিগেছে,ডাইলর খেতও ডাইল ফাকে,ডালর খেতত ডাল ফাকরায়,ডাইল খেতত ডাইল ফাকরা,ডাইল ক্ষেতো ডাইল পাকিগেছে,sylhet
আখ ক্ষেত লম্বা হয়ে উঠেছে  ,কুইয়ার ক্ষেত খুব লাম্বা হইগেছে,আখর খেত লম্বা অইয়া উঠৈছে,আখর খেত লম্বা অইয়া উঠিছে,আখ খেত লম্বা অইয়া উঠিছে,কুইয়ার ক্ষেত খুব লাম্বা হইগেছে,sylhet
ভূট্টা ক্ষেত বাতাসে দুলছে  ,ভুট্টার ক্ষেত বাতাসে লড়ের,ভুট্টার খেত বাতাসও দুলে,ভুট্টা খেত বাতাসত দুলরায়,ভুট্টা খেত বাতাসো দুলরা,ভুট্টার ক্ষেত বাতাসে লড়ের,sylhet
তামাক চাষ করা হচ্ছে  ,তামাক ফলানি হর,তামাক চাষ খরা অইের,তামাক চাষ করা অইরায়,তামাক চাষ করা অইরা,তামাক ফলানি হর,sylhet
টমেটো লাল হয়ে গেছে  ,টমেটো লাল হই গেছে,টমেটো লাল অইয়া গেছে,টমেটো লাল অইয়া গেসে,টমেটো লাল অইয়া গেছে,টমেটো লাল হই গেছে,sylhet
বেগুন ভাজা হচ্ছে  ,বাইঙ্গন ভাজা হর,বেগুন ভাজা অইের,বেগুন ভাজা অইরায়,বেগুন ভাজা অইরা,বাইঙ্গন ভাজা হর,sylhet
